Country,Alcoholic Beverages,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Population,Population (1000),Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Region
Greece,43.35,4.01,0.01,137.94,8.6,19.44,119.93,71.69,227.79,3.69,15.37,10569450,10569.45,4.81,0.46,59.32,4.85,33.62,NA,12.65,28.87,149.94,Europe
Grenada,32.89,1.34,0.02,80.42,9.69,27.1,116.17,59.39,28.55,1.33,14.46,110870,110.87,6.74,3.33,23.34,1.16,57.22,NA,0.15,10.46,37.9,North America
Guatemala,15.66,0.88,0,139.33,13.49,2.58,61.7,36.39,40.53,1.5,4.85,16914970,16914.97,15.17,0.37,12.24,2.64,48.77,0,1.82,8.04,53.31,North America
Guinea,3.51,0.24,0,195.18,1.86,10.09,89.62,13.05,16.62,1.91,10.73,12067520,12067.52,4.43,0,133.15,1.35,15.09,0,0.01,14.98,49.99,Africa
Guinea-Bissau,19.2,0.33,NA,168.62,0.81,1.3,49.68,17.29,17.09,1.65,2.56,1828140,1828.14,1.95,0.01,63.28,0.13,6.16,NA,3.5,14.06,18.45,Africa
Guyana,33.52,0.37,NA,175.32,1.86,30.48,103.84,45.22,84.71,0.69,32.91,775220,775.22,7,3.48,32.94,1.33,57.92,NA,0.78,4.98,272.46,South America
Haiti,11.39,0.36,0,120.04,0.47,4.53,107.59,17.61,7.84,1.37,4.32,10982370,10982.37,17.95,0.02,102.69,3.4,18.75,0,0,7.82,18.16,North America
Honduras,19.49,1.3,0,133.66,4.34,3.15,64.58,33.09,85.04,1.42,1.65,9429010,9429.01,13.17,0.13,6.41,4.42,56.21,NA,0.26,11.76,25.09,North America
Hungary,103.45,16.23,0.01,116.28,13.61,6.3,47.26,79.72,190.82,0.08,1.04,9729820,9729.82,2.92,2.76,46.66,1.58,38.96,0,0.28,11.05,86.99,Europe
Iceland,93.52,18.61,0.05,81.03,10.93,90.71,95.21,91.01,255.76,4.39,3.46,334390,334.39,0.74,1.33,39.16,9.1,77.64,0,1.48,9.18,72.53,Europe
India,2.08,0.03,0,184.56,3.25,6.9,57.69,3.78,106.06,0.33,7.73,1338676780,1338676.78,16.68,3.47,29.63,0.8,18.55,NA,1.62,7.95,79.86,Asia
Indonesia,0.9,0.35,0.01,276.64,5.57,44.67,62.53,11.7,6.74,1.93,25.08,264650960,264650.96,1.12,1.71,52.56,0.46,20.96,NA,0.64,9.73,43.73,Asia
Iran (Islamic Republic of),0.01,8.06,0.03,210.4,7.38,11.73,118.96,35.98,53.76,2.11,0.81,80673880,80673.88,7.1,0.84,49.36,1.95,33,0,9.64,11.57,187.98,Asia
Iraq,1.45,0.32,0,182.38,9.44,3.37,49.2,19.06,15.07,0.3,2.3,37552780,37552.78,3.64,0.23,8.21,1.35,25.56,0,0.96,15.25,37.53,Asia
Ireland,148.53,17.09,0.01,123.72,9.13,23.43,66.7,78.68,234.4,1.63,3.4,4753280,4753.28,2.6,0.71,69.38,3.64,78.77,NA,1.64,14.71,97.14,Europe
Israel,22.71,1.81,0.03,134.53,9.99,25.92,112.43,97.01,192.36,3.54,9.23,8243850,8243.85,6.42,0.49,35.23,4.62,31.3,NA,3.99,29.53,156.24,Asia
Italy,60.09,5.34,0.01,160.94,11.77,29.8,113.44,80.95,228.47,2.25,3.46,60673700,60673.7,5.24,0.12,35.88,5.55,32.36,NA,7.97,26.8,130.88,Europe
Jamaica,33.49,2.82,0.1,115.59,1.98,25.41,109.65,58.96,70.92,2.87,13.58,2920850,2920.85,2.96,5.1,62.31,2.28,63.74,NA,0.15,10.31,88.05,North America
Japan,46.83,0.87,1.26,140.92,19.64,45.49,33.14,49.33,58.63,2.18,8.96,127502730,127502.73,1.49,1.2,25.56,4.32,25.54,2.64,0.94,15.57,91.1,Asia
Jordan,0.83,1.14,0,138.67,3.28,5.87,45.73,37.91,41.82,1.37,7.14,9785840,9785.84,6.27,0.46,21.02,3.67,46.37,NA,1.62,19.48,104.27,Asia
Kazakhstan,41.22,6.79,0,122.46,8.62,4.5,60.45,64.88,270.03,5.48,2.17,18080020,18080.02,0.48,0.2,102.97,2.48,27.38,0,1.59,21.09,191.92,Asia
Kenya,18.08,1.08,0,139.04,1.33,3.98,43.16,15.94,80.9,1.94,2.47,50221140,50221.14,16.1,0.16,69.72,2.05,16.64,0,0.82,6.15,39.95,Africa
Kiribati,3.73,0.61,0,103.92,2.06,76.69,73.98,29.96,1.96,0.44,125.52,114160,114.16,0.04,0.08,90.21,0.39,51.96,0,2.45,5.55,51.98,Oceania
Kuwait,0.06,0.03,0.03,157.05,18.31,11.48,73.01,67.11,47.87,2.71,3.83,4056100,4056.1,5.99,2.78,44.44,3.71,40.13,0.38,2.08,16.48,178.82,Asia
Kyrgyzstan,10.28,3.11,0,164.55,4.32,1.14,37.2,30.46,208.43,4.24,0.16,6189730,6189.73,5.6,0.32,94.55,0.99,52.91,NA,2.36,5.78,184.35,Asia
Latvia,102.58,22.19,0.01,120.21,12.49,24.86,48.38,68.72,222.34,3.17,2.08,1951100,1951.1,0.06,0.23,123.75,3.69,49.19,NA,1.49,13.14,116.44,Europe
Lebanon,8.82,0.98,0,145.59,2.13,8.73,86,23.97,62.48,1.05,6.22,6819370,6819.37,6.17,0.5,40.23,4.49,63.24,0,6.49,18.23,129.43,Asia
Lesotho,26.36,0.18,0,181.2,0.93,1.84,13.95,19.53,21.54,3.03,0.56,2091530,2091.53,8.96,0.9,55.55,0.28,17.05,NA,0.04,5.24,26.04,Africa
